disease_en	disease_jp
pyorrhea	膿漏(症)
pyosalpingx	卵管膿腫
pyosis	化膿(症)
pyospermia	膿精液症
pyostomatis	化膿性口内炎
pyoureter	膿尿管∥尿管蓄膿
pyovesiculosis	精嚢蓄膿
pyuria	膿尿(症)
q fever	Q熱
quadriplegia	四肢麻痺(tetraplegia)
quinsy	扁桃周囲膿瘍∥扁桃膿瘍(peritonsillar abscess)
quotidian fever	毎日熱
quotidian malaria	毎日熱マラリア
rachialgia	背痛
rachischisis totalis	全脊椎裂
radial deviation	橈屈
radiation cystitis	放射線膀胱炎(radiocystitis)
radiation dermatitis	放射線皮膚炎(radiodermatitis)
radiation leukemia	放射線白血病
radiation mucositis	放射線粘膜炎
radiation neuritis	放射線神経炎(radioneuritis)
radiation pneumonitis	放射線肺臓炎
radiodermatitis	放射線皮膚炎
radionecrosis	放射線壊死
radioneuritis	放射線神経炎
ranula	ガマ腫∥ラヌラ
rash	発疹∥皮疹(skin rash)
reactive perforating collagenosis	反応性穿孔性膠原症
rectal stricture	直腸狭窄
rectal ulcer	直腸潰瘍
rectalgia	直腸痛
rectorrhagia	直腸出血(proctorrhagia)
recurrent polyneuritis	反復性多発性神経炎
red palm	手掌紅斑(palmar erythema//erythema palmare[L])
redness	発赤
reflective ptyalism	反射性流唾症
reflective toothache	反射性歯痛
refractory jaundice	難治性黄疸
refractory periodontitis	〔歯〕難治性歯周炎
renal calculus	腎結石
renal glycosuria	腎性糖尿
renal insufficiency	腎不全(renal failure)
renal tuberculosis	腎結核
retained placenta	停留胎盤∥胎盤残留∥胎盤遺残∥胎盤停滞
retained testis	停留睾丸∥停留精巣(undescended testis; retentio testis[L]; cryptorchidism)
retentio testis	停留睾丸∥停留精巣[L](=undescended testis; retained testis; cryptorchidism)
retention jaundice	停留性黄疸
retention polyp	停留ポリープ
retinal separation	網膜剥離
reticulocyte	網状赤血球
retinitis	網膜炎
retinitis pigmentosa	色素性網膜炎
retinoblastoma	網膜芽細胞腫∥網膜芽腫
retinomalacia	網膜軟化症
retinopapillitis	乳頭網膜炎
retinopathy	網膜症
radiation retinopathy	放射線網膜症
retinopathy of prematurity	未熟児網膜症
retinoschisis	網膜分離症
retinosis	網膜症
retractile testis	移動性精巣
retrogenia	下顎後退(症)
retroperitoneal hematoma	後腹膜血腫∥腹膜後血腫
retroplasia	退行形成
rhabdomyoma	横紋筋腫
rhabdomyosarcoma	横紋筋肉腫
rheumatic pleurisy	リウマチ性胸膜炎
rheumatic myocarditis	リウマチ性心筋炎
rheumatic pneumonia	リウマチ性肺炎
rheumatic purpura	リウマチ性紫斑病
rheumatoid arthritis	リウマチ性関節炎
rheumatosis	リウマチ[性]疾患
rhinalgia	鼻痛
rhinitis	鼻炎
rhinoantritis	鼻洞炎
rhinocleisis	鼻腔狭窄(症)
rhinolith	鼻石
rhinomycosis	鼻糸状菌症
rhinopathy	鼻症∥鼻障害
rhinopharyngitis	鼻咽頭炎
rhinorrhagia	鼻血
rhinorrhea	鼻漏
rhinosinusitis	鼻副鼻腔炎
rhinosporidiosis	リノスポリジウム症
rhinostenosis	鼻腔狭窄(症)
rhinotracheitis	鼻腔気管炎∥鼻気管炎
rib fracture	肋骨骨折
rickettsial pneumonia	リケッチア性肺炎
right atrioventricular valve atresia	右房室弁閉鎖症
right heart failure	右心不全
rodent ulcer	蚕食性潰瘍
root pain	神経根痛∥根性痛
rubella	風疹
rupture of Achilles tendon	アキレス腱断裂
sacrococcygeal teratoma	仙尾部奇形腫
salivary calculus	唾石(salivary stone; sialolith)
salivary stone	唾石(salivary calculus; sialolith)
salpingemphraxis	卵管閉塞症
salpingitis	卵管炎
salpingocele	卵管ヘルニア
salpingolith	卵管結石
salpingolithiasis	卵管結石症
salpingoperitonitis	卵管腹膜炎
sarcoidosis	類肉腫症
sarcoma	肉腫
sarcoma psammosum	砂腫状肉腫[L](=psammosarcoma)
sarcomatosis	肉腫症
scaly leg	鱗状脚
scaphocephalia	舟状頭症∥舟状頭蓋奇形
scaphoiditis	舟状骨炎
scapulalgia	肩甲骨痛
scarlet fever	猩紅熱
scatoma	糞腫
scatophagy	食糞症
scelalgia	脛痛
schistocystis	膀胱裂
schistoglossia	舌裂
schistosomiasis	住血吸虫症
schizodontism	裂歯症
schwannoma	神経鞘腫
sciatic neuritis	坐骨神経炎
sciatica	坐骨神経痛(sciatic pain; ischialgia; ischiodynia)
scleredema	硬水腫
scleritis	強膜炎
sclerodentin	硬化象牙質
scleroderma	強皮症∥皮膚硬化症
systemic scleroderma	全身性強皮症∥全身性皮膚硬化症
scleroma	硬化腫
scleroma neonatorum	新生児硬化腫
scleronychia	爪硬化症
sclerotic gastritis 	硬化性胃炎
sclerotic osteitis 	硬化性骨炎
sclerotic tongue 	硬化舌
scoliosis	側彎症
scrotal eczema	陰嚢湿疹
scrotal elephantiasis	陰嚢象皮病
scrotal hernia	陰嚢ヘルニア(scrotocele)
scrotitis	陰嚢炎(oscheitis)
scrotocele	陰嚢ヘルニア(scrotal hernia)
sebaceous adenoma	脂腺腫
seborrhea	脂漏(症)
seborrheic blepharitis	脂漏性眼瞼炎
seborrheic dermatitis	脂漏性皮膚炎
seborrheic keratosis	脂漏性角化症(keratosis seborrheica[L])
seborrhoea sicca	乾性脂漏症
seborrheic wart	脂漏性疣
secodont	切縁歯
selenodont	半月歯
senile keratoma	老人性角化腫[略 KS]
sensory aphasia	感覚性失語(症)
sensory apraxia	感覚性失行(症)
sensory ataxia	感覚性運動失調
sensory epilepsy	感覚性癲癇
sepsis	敗血症(形 septic) (septicemia)
septic shock	敗血症性ショック
septicemia	敗血症(sepsis)
septicopyemia	膿敗血症
septimetritis	敗血性子宮炎
serocele	漿液瘤
serositis	漿膜炎
serous adenoma	漿液性腺腫
serous adenocarcinoma	漿液性腺癌
serous cystoma	漿液性嚢腫
serous otitis media	漿液性中耳炎
serous papillary adenocarcinoma	漿液性乳頭状腺癌
serous pulpitis	漿液性歯髄炎
serum rash	血清疹
serum sickness	血清病
sesamoiditis	種子骨炎
shigellosis	シゲラ感染症∥細菌性下痢
shingles	帯状疱疹(herpes zoster)
shock	ショック
sialadenoma papilliferum	乳頭状唾液腺腫[L]
sialemesia	吐唾症
sialolith	唾石(salivary calculus; salivary stone)
sialolithiasis	唾石症
sialometaplasia	唾液腺化生
sialorrhoea	流涎
sickle cell anemia	鎌状赤血球貧血
signet-ring cell carcinoma	印環細胞癌
silicosis	硅粉症
simple pulmonary eosinophilia	単純性肺好酸球増加症∥単純性肺好酸球増加
sinus infection	静脈洞感染∥副鼻腔感染∥洞感染
sinus phlebitis	静脈洞炎
sinusitis	洞炎
skelalgia	脚痛
skin abscess	皮下膿瘍(cutaneous abscess; subcutaneous abscess)
skin cancer	皮膚癌
skin rash	皮疹(rash)
slipped vertebra	脊椎すべり症
smallpox	天然痘∥痘瘡(variola)
solar keratosis	日光性角化症(actinic keratosis)
solar retinopathy	日光性網膜症
somatomegaly	巨人症
somnolence	傾眠(somnolency)
somnolency	傾眠(somnolence)
somnolentia	1.傾眠(somnolence; somnolency)
somnolism	催眠状態
spasm	痙攣∥攣縮
spermatic cord torsion	精索捻転症
spermatocystitis	精嚢炎
spermatitis	精管炎∥精索炎
spermatocele	精液瘤
spermatocyst	精液瘤(spermatocele)
spermatolysis	精子溶解
spermatopathia	精液病∥精子病
spermaturia	精液尿症
spermolith	精管結石
spermoneuralgia	精索神経痛
spermophlebectasia	精索静脈瘤
sphincteritis	括約筋炎
sphingolipidosis	スフィゴリピドシス∥スフィゴリピド症∥スフィゴ脂質症
sphingomyelinosis	スフィンゴミエリン症
spinal canal stenosis	脊柱管狭窄症∥脊柱管狭窄(spinal stenosis)
spinal cord herniation	脊髄ヘルニア
spinal fracture	脊椎骨折
spinal hemiplegia	脊髄半側麻痺∥脊髄片麻痺
spinal paralysis	脊髄麻痺(myeloparalysis; myeloplegia)
spinal rachischisis	脊椎披裂∥脊椎裂(rachischisis)
spinal stenosis	脊柱管狭窄症∥脊柱管狭窄(spinal canal stenosis)
spinal syphilis	脊髄梅毒(myelosyphilis)
spinalgia	脊髄痛
spiradema	汗腺腫
splanchnocele	内臓ヘルニア
splanchnodiastasis	内臓分離∥内臓転位
splanchnolith	内臓結石
splanchnomegaly	内臓巨大症
splanchnopathy	内臓疾患∥内臓障害
splenalgia	脾臓痛
splenectasis	脾腫大
splenic injury	脾損傷
splenitis	脾炎
splenodynia	脾臓痛
splenomalacia	脾軟化症
splenomegaly	脾腫大∥巨脾症
splenoptosis	脾下垂(症)
splenorrhagia	脾出血
splenosis	脾症
spondylalgia	脊椎痛
spondylarthritis	脊椎関節炎
spondylarthrosis	脊椎関節症
spondylitis	脊椎炎
spondylizema	脊椎陥没(症)
spondylocace	脊椎結核∥脊椎カリエス
spondylodynia	脊椎痛
spondylolysis	脊椎分離(症)
spondylomalacia	脊椎軟化(症)
spondylomalacia traumatica	外傷性脊椎軟化(症)
spondylomyelitis	脊椎脊髄炎
spondyloptosis	脊椎下垂(症)
spondylopathy	脊椎症
spondylopyosis	脊椎化膿(症)
spondyloschisis	脊椎披裂∥脊椎裂
spondylosis	脊椎症
spondylosis deformans	変形性脊椎症
spondylosyndesis	脊椎癒着
spontaneous dislocation	特発脱臼
spontaneous fracture	特発性骨折
spontaneous hepatic rupture	自発[性]肝破裂(spontaneous liver rupture)
spontaneous liver rupture	自発[性]肝破裂(spontaneous hepatic rupture)
sports injuries	スポーツ障害[pl]
spotted fever	斑点熱
sputum cruentum	血痰
squint	斜視
staphylitis	口蓋垂炎(uvulitis)
staphylococcemia	葡萄球菌血[症]=ブドウ球菌血(症)
staphyloma	葡萄膜腫∥葡萄腫
staxis	出血
steatocele	脂肪瘤
steatohepatitis	脂肪性肝炎
steatolysis	脂肪融解
steatonecrosis	脂肪壊死
steatopygia	殿部脂肪過多[症]∥殿部脂肪蓄積
steatorrhea	1.皮脂漏; 2.脂肪便∥脂肪性下痢[Br steatorrhoea]/[2](=fatty diarrhea) /漏=ろう/
stenosis	狭窄(症)
stercolith	糞石∥腸石∥腸結石
stereoagnosis	立体認知不能
sternalgia	胸骨痛
stethalgia	胸痛(chest pain)
stillbirth	死産(dead birth)
stomatitis	口内炎
uremic stomatitis	尿毒症性口内炎
stomatitis diphtheriae	ジフテリア性口内炎
stomatomycosis	口腔真菌症
storage disease	蓄積症
streptococcemia	連鎖球菌血症
streptococcosis	連鎖球菌症
stress fracture	疲労骨折
stupor	昏迷∥無感覚∥麻瘁∥人事不省
subacute hepatitis	亜急性肝炎(略 SAH)
subacute rheumatism	亜急性リウマチ
subacute thyroiditis	亜急性甲状腺炎
subalimantation	低栄養
subcutaneous abscess	皮下膿瘍(cutaneous abscess; skin abscess)
subdural hygroma	硬膜下水腫 
subependymoma	上衣下腫
subepidermal abscess	表皮下膿瘍
subinfection	亜感染症
subinvolution of uterus	子宮復古不全(症)
subluxation	亜脱臼∥不全脱臼
subluxation of head of radius in child	肘内障
subluxation of shoulder	肩関節亜脱臼
submucosal tumor of esophagus	食道粘膜下腫瘍
submucous myoma	子宮粘膜下筋腫
subnutrition	低栄養
subphrenic abscess	横隔膜下膿瘍
subretinal hemorrhage	網膜下出血
suffocation	窒息(asphyxia)
supraventricular arrhythmia	上室性不整脈
supraventricular extrasystole	上室性期外収縮
supraventricular tachycardia	上室性頻脈
suppurative mastoiditis	化膿性乳突炎
surgical liver bleeding	外科的肝[臓]出血
survivor syndrome	生存者症候群
swaying gait	動揺歩行
swelling	腫大∥腫脹
sycosis	毛瘡
symblepharon	眼瞼癒着(blepharosynechia; ankyloblepharon)
symmelia	合肢症∥人魚体症∥下肢癒着症
symmelus	合肢体∥人魚体∥下肢癒着体
symptomatic anemia	症候性貧血(secondary anemia)
syncanthus	眼角眼球癒着
syncephalalus	頭部結合体
syncope	失神
syndactyly	合指症
syndesmitis	靭帯炎
synoscheos	陰茎陰嚢癒着(症)
synostosis	骨癒合症∥骨癒合
synotia	合耳症
synovial sarcoma	滑膜肉腫
synovioma	滑膜腫
synoviosarcoma	滑膜肉腫
synovitis	滑膜炎
syphilitic aortitis	梅毒性大動脈炎
syphilitic glossitis	梅毒性舌炎
syphilitic meningitis	梅毒性髄膜炎
syphilitic stomatitis	梅毒性口内炎
syphilis	梅毒
syringadenoma	汗腺腫(syringoadenoma)
syringocarcinoma	汗腺癌
syringitis	耳管炎
syringoadenoma	汗腺腫(syringadenoma)
syringocele	脊髄瘤(myelocele)
syringomyelia	脊髄空洞症
syringomyelitis	炎症性脊髄空洞症
syringomyelocele	空洞状脊髄脱出
systemic rheumatism	全身性リウマチ
systemic side effect	全身性副作用
systemic vein stenosis	体静脈狭窄
tabes dorsalis	脊髄癆
tachyarrhythmia	頻拍性不整脈
tachycardia	頻脈
tachylalia	速語症
tachyphagia	速食症
tachyphrasia	速語症
tachypnea	頻呼吸∥多呼吸
Takayasu arteritis	高安動脈炎
Takayasu disease	脈なし病(pulseless disease)
talcosis	滑石沈着(症)
talipes	彎足∥彎曲足
talipes calcaneovalgus	外反踵足
talipes calcaneus	踵足
talipes valgus	外反足(pes valgus)
talipes varus	内反足
talipomanus	彎曲手
talipomanus extensa	伸展彎曲手
talipomanus flexa	屈曲手
talipomanus valga	外反手
talipomanus vara	内反手
taeniasis	条虫症
tarsalgia	足根痛
tarsitis	眼瞼炎
telalgia	関連痛(referred pain)
telangiectasis	毛細血管拡張(症)
telangioma	毛細血管腫
telangiosis	毛細血管症
telecanthus	眼角離開
temporomandibular dysfunction	顎関節機能障害∥顎関節機能異常
tendinitis	腱炎
tendovaginitis	腱鞘炎
teratocarcinoma	奇形癌
teratoma	奇形腫
tetanus	破傷風
tetany	強直∥テタニー
tetrabrachius	四腕奇形児
tetraplegia	四肢麻痺(quadriplegia)
tetralogy of Fallot	ファロー四徴症
tetramazia	二重乳房
tetrapus	四足体
tetrotus	四耳体
thalassemia	地中海貧血∥サラセミア
thallotoxicosis	タリウム中毒(症)
thelitis	乳頭炎
thelorrhagia	乳頭出血
thermalgia	灼熱痛
thermoplegia	熱射病
thoracic aortic aneurysm	胸部大動脈瘤(略 TAA)
thoracic kidney	胸部腎
thoracic outlet syndrome	胸郭出口症候群(略 TOS)
thoracopathy	胸部疾患
thrombocythemia	血小板血症∥栓球血症
thrombocytopenia	血小板減少(症)
thrombocytosis	血小板血症∥栓球血症
thromboembolism	血栓塞栓症
thromboendarteritis	血栓性動脈内膜炎
thrombophlebitis	血栓性静脈炎
thrombosis	血栓症
thrombostasis	血小板鬱滞症∥血小板鬱滞
thymic hypertrophy	胸腺肥大
thymitis	胸腺炎
thymomic carcinoma	胸腺癌
thymoma	胸腺腫
thyroadenitis	甲状腺炎
thyroiditis	甲状腺炎
tibia valga	外反脛骨
tibia vara	内反脛骨
tinea pedis	水虫(athlete's foot)
tinea unguium	爪白癬(nail ringworm)
tinnitus	耳鳴り∥耳鳴
tonsillitis	扁桃炎
tonsillolith	扁桃結石
tonsillopharyngitis	扁桃咽頭炎 
topoanesthesia	部位感覚消失
tooth fracture	歯折
torsion	捻転(症)
torticollis	斜頚(collum distortum[L])
toxic anemia	中毒性貧血
toxic asthma	中毒性喘息
toxic atrophy	中毒性萎縮
toxic constipation	中毒性便秘
toxic deafness	中毒性難聴
toxic eczema	中毒性湿疹
toxic edema	中毒性水腫∥中毒性浮腫
toxic erythema	中毒性紅斑
toxic hepatitis	中毒性肝炎
toxic liver cirrhosis	中毒性肝硬変
toxic megacolon	中毒性巨大結腸症
toxic nephropathy	中毒性腎症
toxic nodule	中毒性結節
toxic psychosis	中毒精神病(*体内の毒素による)
toxic reaction	中毒反応
toxic shock	中毒性ショック
toxic shock syndrome	中毒性ショック症候群
toxic tremor	中毒性振戦
tracheal fistula	気管瘻
tracheal foreign body	気管異物
tracheitis	気管炎
trachelitis	子宮頚炎
trachelopanus	1.頚部リンパ管拡張; 2.子宮頚部リンパ管拡張
tracheobronchial adenopathy	気管気管支リンパ節疾患 
tracheomalacia	気管軟化(症)
tracheopathy	気管疾患
tracheostoma	気管瘻∥気管フィステル(形 tracheostomal)
trauma	外傷
traumatism	外傷状態
traumatic bone fracture	外傷性骨折(traumatic fracture)
traumatic brain injury	外傷性脳損傷
traumatic erythrodontia	外傷性紅変歯
traumatic hemothorax	外傷性血胸
traumatic cervical syndrome	外傷性頚部症候群
traumatic occlusion	外傷性咬合
traumatic perforation of appendix	外傷性虫垂穿孔
traumatic ulcer	外傷性潰瘍
traumatopnea	外傷性呼吸困難
trichiasis	睫毛乱生(症)
trichoepithelioma	毛包上皮腫
trichoglossia	毛舌(症)
trichologia	抜毛癖
trichophytosis	白癬(症)
trichopoliodystrophy	白髪ジストロフィー
trichotilomania	抜毛癖∥トリコチロマニー
trigeminy	三段脈
trigger finger	弾発指∥ばね指
trigonocephaly	三角頭
triplegia	三肢麻痺
triplopia	三重視
tropical pulmonary eosinophilia	熱帯性肺好酸球増加症∥熱帯性肺好酸球増加
true cyst	真性嚢胞
tubatorsion	卵管捻転
tuberculation	結核形成
tuberculoma	結核腫
tuberculosis	結核
mult-drug resistant tuberculosis	多薬物耐性結核
tuberculous abscess	結核性膿瘍
tuberculous pleuritis	結核性胸膜炎
tuberculous arthritis	結核性関節炎
tuberculous glossitis	結核性舌炎
tuberculous keratitis	結核性角膜炎
tuberculous lymphadenitis	結核性リンパ節炎
tuberculous nephritis	結核性腎炎
tuberculous pericarditis	結核性心膜炎
tuberculous peritonitis	結核性腹膜炎
tuberculous rheumatism	結核性リウマチ
tuberculous salpingitis	結核性卵管炎
tuberculous spondylitis	結核性脊椎炎
tuberculous submandibular lymphadenitis	結核性顎下リンパ節炎
tularemia	野兎病
benign tumor	良性腫瘍
malignant tumor	悪性腫瘍
tussiculation	短い空咳∥頻発軽咳
tyloma	胼胝∥皮膚肥厚
tympanic perforation	鼓膜穿孔
tympanitis	鼓室炎
tympanosclerosis	鼓膜硬化(症)
typhlatony	盲腸弛緩(症)
typhlectasis	盲腸拡張(症)
typhlocolitis	盲腸結腸炎
typhlodicliditis	回盲弁炎
typhlomegaly	盲腸巨大(症)
typhloptosis	盲腸下垂(症)
typhlostenosis	盲腸狭窄(症)
ulcer	潰瘍
ulceration	潰瘍化∥潰瘍形成
ulcerative pseudomembranous stomatitis	潰瘍性偽膜性口内炎
ulnar neuropathy	尺骨神経障害
ulodermatitis	瘢痕皮膚炎
umbilical granuloma	臍肉芽腫
umbilical hemorrhage	臍出血
umbilical hernia	臍ヘルニア
uncinariasis	鈎虫症
undernutrition	低栄養
underventilation	低換気∥呼吸低下(hypoventilation)
undescended testis	停留睾丸∥停留精巣(retained testis; retentio testis[L]; cryptorchidism)
upper abdominal pain	上腹部痛
upper airway obstruction	上気道閉塞
urarthritis	尿酸性関節炎
uratoma	尿酸塩腫
uremia	尿毒症
ureteral injury	尿管損傷
ureteral obstruction	尿管閉鎖
ureteralgia	尿管痛
ureterectasis	尿管拡張(症)
ureteritis	尿管炎
ureterocele	尿管瘤
ureterodialysis	尿管破裂
ureterolith	尿管結石
ureterolithiasis	尿管結石症
ureterolysis	1.尿管破裂; 2.尿管麻痺; 3.癒着尿管剥離
ureteropathy	尿管疾患
ureteropyelitis	尿管腎盂炎
ureteropyelonephritis	尿管腎盂腎炎
ureteropyosis	尿管化膿(症)
ureterorrhagia	尿管出血
ureterostenosis	尿管狭窄(症)
urethral dilation	尿道拡張
urethral injury	尿道損傷
urethral obstruction	尿道閉塞
urethral rupture	尿道断裂∥尿道破裂 
urethralgia	尿道痛
urethritis	尿道炎
urethrodynia	尿道痛
uricemia	尿酸血症
uricosuria	尿酸尿症
urina cruenta	血尿[L](=hematuria)
urobilinemia	ウロビリン血(症)
urocystitis	膀胱炎
urodynia	排尿痛
urolith	尿石
urolithiasis	尿石症
uteralgia	子宮痛(uterodynia)
uterine atony	子宮アトニー∥子宮弛緩(症)
uterine cervix cancer	子宮頚癌
uterine tetanus	#NAME?
uterine tetany	子宮痙攣
uterine polyp	子宮ポリープ
uterine leiomyoma	子宮平滑筋腫∥子宮筋腫
uterine hypertonia	子宮過度緊張∥子宮緊張亢進
uteritis	子宮炎
uterodynia	子宮痛(uteralgia)
uterolith	子宮結石
utriculitis	1.(内耳の卵形嚢炎; 2.前立腺小室炎
uveitis	ぶどう膜炎
uveoparotitic polyneuritis	ぶどう膜耳下腺性多発性神経炎
uvulitis	口蓋垂炎
vaginal atresia	膣閉鎖(症)(colpatresia)
vaginal laceration	腟裂傷
vaginitis	膣炎
vagitis	迷走神経炎
valvulitis	弁膜炎∥心弁膜炎
varicella	水痘(chickenpox)
varicosis	静脈瘤症
varicosity	静脈瘤様腫脹
variola	天然痘∥痘瘡(smallpox)
varix	静脈瘤
vasa previa	前置血管
vascular collapse	血管虚脱
vascular dementia	血管性痴呆
vascular edema	血管性水腫
vascular leiomyoma	血管平滑筋腫(angioleiomyoma) 
vascular nevus	血管性母斑
vascular obstruction	血管閉塞
vasculitis	血管炎∥脈管炎(angiitis)
vasoneurosis	血管神経症
vegetative endocarditis	増殖性心内膜炎
vegetative neurosis	自律神経症
venosclerosis	静脈硬化症
venostasis	静脈鬱血
ventricular dysfunction	心室機能不全
ventricular septal defect	心室中隔欠損症(略 VSD)
ventriculitis	脳室炎
venulitis	細静脈炎
verumontanitis	精丘炎
verruca vulgaris	尋常性疣贅[L]
verruciform xanthoma	疣贅型黄色腫
vertigo	眩暈=めまい//
vestibulitis	前庭炎
vilitigo vulgaris	尋常性白斑
villoma	絨毛腫
villous tumor	絨毛腫(villoma)
viral conjunctivitis	ウイルス性結膜炎
viral encephalomyelitis	ウイルス性脳脊髄炎
viral enteritis	ウイルス性腸炎
viral meningitis	ウイルス性髄膜炎
viremia	ウイルス血症
visceral crisis	内臓発症
visceral ectopia	内臓転位(症)
visceral pain	内臓痛(visceralgia)
visceral rheumatism	内臓リウマチ
visceralgia	内臓痛(visceral pain)
vitreous clouding	硝子体混濁(opacity of vitreous body)
vocal-cord adduction	声帯内転
volvulus	腸捻転
vomiting	嘔吐
vulgar ecthyma	尋常性膿瘡
vulvitis	外陰炎
wandering abscess	遊走性膿瘍
wandering pain	遊走痛
war neurosis	戦争神経症(combat neurosis)
Warthin tumor	ワルシン腫瘍(adenolymphoma)
weakness	衰弱
wet beriberi	湿性脚気
wet hoarseness	湿性嗄声
white coat hypertension	白衣高血圧
white diarrhea	白色下痢∥白痢
white hairy tongue	白色毛状舌
white spongy nevus	白色海綿状母斑
whoop	レプリーゼ
whooping cough	百日咳(pertussis)
Wilms' tumor	ウイルムス腫瘍
Wilson's disease	ウイルソン病
Wiskott-Aldrich syndrome	ウィスコット-アルドリック症候群
wrist joint pain	手関節痛
xanthofibroma	黄色線維腫
xanthogranuloma	黄色肉芽腫
xanthoma	黄色腫
xanthomatosis	黄色腫症
xerasia	毛髪乾燥症
xeroderma	乾皮症
xeroderma pigmentosum	色素性乾皮症
xerophthalmia	眼球乾燥症
xerosis cutis	乾皮症∥乾燥皮膚∥皮膚乾燥(症)(dry skin//xeroderma//xerodermia)
xerostomia	口腔乾燥症
xerotic keratitis	乾性角膜炎
xiphoiditis	剣状突起炎
xiphopagus	剣状突起結合体
yaw	イチゴ腫
yellow fever	黄熱病
yellow atrophy of liver	肝黄色萎縮
Yersinia infection	エルシニア感染症(acute mesenteric lymphadenitis)
Zenker's waxy degeneration	ツェンカー蝋変性
zoonosis	人畜共通感染症
zygomycosis	接合菌症
abdominal aorta aneurysm	腹部大動脈瘤
adrenopathy	副腎疾患
asynchronism	非同時性∥非同期∥異期
cholesteremia	高コレステロール血症
endogenous infection	内因性感染
exophthalmos	眼球突出(症)(proptosis)
flatulency	膨満∥鼓腸
leuconychia	爪甲白斑(症)
lung neoplasm	肺腫瘍
putaminal bleeding	被殻出血
pyorrhoea	膿漏(症)
scaphocephalism	舟状頭症∥舟状頭蓋奇形
tracheopathia	気管疾患
abnormally excessive sweating
bartholin's abscess
absence seizure
ac joint separation
achalasia
achilles tendinitis
achilles tendon rupture
acid reflux
infant acid reflux
acl injury
acquired immunodeficiency syndrome
acromioclavicular joint separation
acute coronary syndrome
acute febrile neutrophilic dermatosis
acute inflammatory demyelinating polyneuropathy
acute kidney failure
acute liver failure
acute lymphoblastic leukemia
acute lymphocytic leukemia
acute lymphoid leukemia
acute radiation sickness
acute radiation syndrome
acute renal failure
alcohol addiction
drug addiction
gambling addiction
nicotine addiction
mesenteric adenitis
adhd in children
adult adhd
adhesive capsulitis
adjustment disorders
adnexal tumors
adolescent schizophrenia
adrenal cancer
adrenal gland tumor
adrenal mass
adrenoleukodystrophy
adult attention-deficit/hyperactivity disorder
adult still's disease
age spots
dry age-related macular degeneration
wet age-related macular degeneration
agnogenic myeloid metaplasia
agoraphobia
aids/hiv
airplane ear
albinism
alcohol addiction
alcohol intolerance
alcohol poisoning
alcohol use disorder
alcohol-related birth defects
alcohol-related neurodevelopmental disorder
aldosteronoma
allergic granulomatosis
allergic granulomatosis and angiitis
allergic rhinitis
allergies
dustmite allergy
egg allergy
milk allergy
mold allergy
nickel allergy
peanut allergy
penicillin allergy
pet allergy
shellfish allergy
soy allergy
wheat allergy
alopecia
alpha-gal syndrome
alveolar osteitis
ambiguous genitalia
amblyopia
american trypanosomiasis
amnesia
dissociative amnesia
transientglobal amnesia
amnestic syndrome
amniotic fluid embolism
ampullary cancer
amyotrophic lateral sclerosis
anal cancer
anal itching
anaplasmosis
cooley's anemia
irondeficiency anemia
mediterranean anemia
sicklecell anemia
vitamindeficiency anemia
abdominalaortic aneurysm
brain aneurysm
cerebral aneurysm
popliteal aneurysm
thoracicaortic aneurysm
aneurysms
angelman syndrome
angiitis
angina
angina pectoris
angioedema and hives
angiofollicular lymph node hyperplasia
anhidrosis
ankle fracture
ankle sprain
ankyloglossia
anorexia
anorexia nervosa
anorgasmia in women
anterior cruciate ligament injury
anterior prolapse
antibiotic-associated colitis
antibiotic-associated diarrhea
antiphospholipid syndrome
antisocial personality disorder
generalized anxiety disorder
social anxiety disorder
anxiety disorders
aortic coarctation
aortic dissection
aortic valve disease
aortic valve regurgitation
aortic valve stenosis
primaryprogressive aphasia
aphthous ulcer
apical ballooning syndrome
arenaviruses
argentine hemorrhagic fever
arm fracture
arrhythmia
arteriosclerosis / atherosclerosis
arteriovenous fistula
arteriovenous malformation
giantcell arteritis
takayasu's arteritis
basaljoint arthritis
degenerative arthritis
juvenileidiopathic arthritis
osteoarthritis arthritis
psoriatic arthritis
reactive arthritis
septic arthritis
thumb arthritis
ascariasis
asthma attack
exercise-induced asthma
occupational asthma
atherosclerosis
athlete's foot
atopic dermatitis
atrial fibrillation
atrial flutter
atrial tachycardia
atrioventricular canal defect
atrioventricular nodal reentry tachycardia
atrioventricular septal defect
atrophic vaginitis
attachment disorder
attention-deficit/hyperactivity disorder
attention-deficit/hyperactivity disorder in adults
atypical depression
atypical hyperplasia of the breast
autism spectrum disorder
autoimmune pancreatitis
autonomic neuropathy
avascular necrosis
avian influenza
avnrt
baby acne
back pain
bags under eyes
baker's cyst
balance problems
baldness
barber's itch
barlow's syndrome
barotitis media
barotrauma
barrett's esophagus
bartholin's cyst
basal joint arthritis
bedbugs
bedsores
bed-wetting
bee sting
behcet's disease
bell's palsy
benign adrenal tumors
benign migratory glossitis
benign paroxysmal positional vertigo
benign peripheral nerve tumor
benign prostatic hyperplasia
berger's disease
bicuspid aortic valve
bile duct cancer
bile reflux
binge drinking
binge-eating disorder
bipolar disorder
bird flu
black hairy tongue
blackheads
bladder calculi
bladder cancer
lossof bladder control
bladder exstrophy
bladder infection
bladder inflammation
bladder prolapse
bladder stones
blastocystis hominis
blind loop syndrome
blocked tear duct
blood in urine
high blood pressure
low blood pressure
body dysmorphic disorder
body lice
body odor and sweating
boils and carbuncles
bone cancer
